geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,area_m2,period_ret,intens_num,int2
"19.413624041,-99.1622072894",Hidrometeorológicos,Precipitación,Medio,Cuauhtémoc,274051.529114,5 años,60 a 64,3
"19.3898178331,-99.1007576389",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,113228.7332,5 años,54 a 60,2
"19.4797248369,-99.125081824",Hidrometeorológicos,Precipitación,Bajo,Gustavo A. Madero,265915.239401,5 años,54 a 60,2
"19.4926844477,-99.0830662374",Hidrometeorológicos,Precipitación,Muy Bajo,Gustavo A. Madero,311896.27328,5 años,41 a 54,1
"19.4576987794,-99.1943275687",Hidrometeorológicos,Precipitación,Alto,Miguel Hidalgo,206072.601933,5 años,64 a 70,4
"19.4166390494,-99.1116032098",Hidrometeorológicos,Precipitación,Bajo,Venustiano Carranza,111436.012907,5 años,54 a 60,2
"19.4206506145,-99.1317331818",Hidrometeorológicos,Precipitación,Bajo,Cuauhtémoc,287067.212425,5 años,54 a 60,2
"19.4328010337,-99.1445384961",Hidrometeorológicos,Precipitación,Bajo,Cuauhtémoc,314311.511013,5 años,54 a 60,2
"19.4283486755,-99.1729611391",Hidrometeorológicos,Precipitación,Alto,Cuauhtémoc,221640.834208,5 años,64 a 70,4
"19.4121292154,-99.1058007814",Hidrometeorológicos,Precipitación,Bajo,Venustiano Carranza,97589.7064227,5 años,54 a 60,2
"19.2920421733,-99.0611794865",Hidrometeorológicos,Precipitación,Bajo,Tláhuac,64852.729601,5 años,54 a 60,2
"19.3749281782,-99.2286150678",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,272630.734421,5 años,64 a 70,4
"19.3597054856,-99.2364945083",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,322906.174802,5 años,60 a 64,3
"19.2600708799,-99.1877288368",Hidrometeorológicos,Precipitación,Medio,Tlalpan,2283832.65779,5 años,60 a 64,3
"19.3986985658,-99.0643414792",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,300355.063802,5 años,54 a 60,2
"19.3509183541,-99.2495297025",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,492400.586956,5 años,60 a 64,3
"19.372302861,-99.2241496627",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,383686.236839,5 años,64 a 70,4
"19.3310951449,-99.0017766184",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,971971.084513,5 años,41 a 54,1
"19.3171336319,-99.0448026102",Hidrometeorológicos,Precipitación,Muy Bajo,Iztapalapa,297346.716491,5 años,41 a 54,1
"19.3947148671,-99.0714760829",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,209065.887361,5 años,54 a 60,2
